timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
16,0.16,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.01347351,0.03085327,-1.061966,24.43705,12.82697,-23.27029,281.8281,294.188,25,-0.02693335,-0.04533206,-0.04650412,0.385345,-0.01666082,-0.07238787,0.001449013,-0.02567593,0.005501413,-0.07714884,-0.04931442,0.06636503
17,0.17,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.1019287,0.08190918,-1.07431,24.5432,12.57925,-23.23615,281.8195,294.1794,25,-0.06484105,-0.04504124,-0.04928632,0.3854601,-0.01694861,-0.07257298,-0.02921861,-0.02392761,0.01259648,-0.01645253,-0.08573867,0.03836219
18,0.18,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.1019287,0.08190918,-1.07431,24.5432,12.57925,-23.23615,281.8195,294.1794,25,-0.06265033,-0.03628717,-0.03706108,0.3855607,-0.01717722,-0.07330234,-0.0671263,-0.02363686,0.009814082,0.09043348,0.0158441,-0.1246129
19,0.19,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.04785156,0.05195618,-0.9825134,24.75549,12.65004,-23.23615,281.8105,294.1705,25,-0.06116562,-0.04251417,-0.05664996,0.3860086,-0.01366288,-0.07408035,-0.0649361,-0.01486339,0.02204044,0.1155537,0.007896572,-0.07714608
20,0.2,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.03297424,0.04127502,-0.9263306,24.75549,12.65004,-23.23615,281.8105,294.1705,25,-0.04448465,-0.01864506,-0.05795438,0.3860799,-0.01386461,-0.07472311,-0.06345138,-0.02109044,0.002451423,0.06167704,-0.02269742,0.01460026
21,0.21,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.084198,0.02253723,-1.011246,24.75549,12.65004,-23.23615,281.8105,294.1705,25,-0.04448465,-0.01864506,-0.05795438,0.3860799,-0.01386461,-0.07472311,-0.06345138,-0.02109044,0.002451423,0.06167704,-0.02269742,0.01460026
22,0.22,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.1336212,0.03578186,-1.063278,24.75549,12.79159,-23.03156,281.8052,294.1652,25,-0.09347935,-0.01613503,-0.0559365,0.3859627,-0.01386991,-0.07611053,-0.08091053,0.003101087,-0.01511877,-0.07036868,-0.05349984,-0.01423664
23,0.23,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.08222961,0.06071472,-1.018417,24.61396,13.21625,-22.75873,281.8105,294.1704,25,-0.09347935,-0.01613503,-0.0559365,0.3859627,-0.01386991,-0.07611053,-0.08091053,0.003101087,-0.01511877,-0.07036868,-0.05349984,-0.01423664
24,0.24,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.02400208,0.002868652,-0.9755096,24.61396,13.21625,-22.75873,281.8105,294.1704,25,-0.01599228,-0.0389213,-0.05384139,0.3859296,-0.01379483,-0.07712762,-0.0957651,0.005288585,0.003164564,-0.1198678,-0.04126932,-0.06634592
25,0.25,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03076172,0.03985596,-0.942215,24.40166,13.14546,-22.55411,281.8163,294.1763,25,-0.01599228,-0.0389213,-0.05384139,0.385955,-0.01377016,-0.07793947,-0.06633291,0.002297009,0.0009846414,-0.0685017,-0.01714586,-0.02154762
26,0.26,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.04841614,0.1514435,-0.970459,24.40166,13.14546,-22.55411,281.8163,294.1763,25,-0.05028634,-0.03850824,-0.04922214,0.385955,-0.01377016,-0.07793947,-0.06633291,0.002297009,0.0009846414,-0.0685017,-0.01714586,-0.02154762
27,0.27,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.01637268,0.08047485,-0.9275513,24.50781,13.53473,-22.24719,281.8312,294.1912,25,-0.06016667,-0.03258777,-0.05181739,0.3861073,-0.01407365,-0.07874998,-0.05257208,-0.01708477,0.009878542,0.04479129,-0.03881265,0.05458713
28,0.28,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.01637268,0.08047485,-0.9275513,24.50781,13.53473,-22.24719,281.8312,294.1912,25,-0.0503673,-0.03235767,-0.05419346,0.3861836,-0.01422211,-0.07943365,-0.0624524,-0.01116434,0.007283164,0.06259292,0.07209335,0.02628701
29,0.29,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.007675171,0.05162048,-0.868454,24.50781,13.53473,-22.24719,281.8312,294.1912,25,-0.0503673,-0.03235767,-0.05419346,0.3861836,-0.01422211,-0.07943365,-0.0624524,-0.01116434,0.007283164,0.06259292,0.07209335,0.02628701
30,0.3,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.007675171,0.05162048,-0.868454,24.50781,13.53473,-22.24719,281.8312,294.1912,25,-0.0503673,-0.03235767,-0.05419346,0.3861836,-0.01422211,-0.07943365,-0.0624524,-0.01116434,0.007283164,0.06259292,0.07209335,0.02628701
31,0.31,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06533813,0.07559204,-0.9898071,24.68472,13.78245,-22.07669,281.8644,294.2244,25,-0.0146631,-0.04261564,-0.05871098,0.386253,-0.01461061,-0.08025662,-0.00241754,-0.013425,0.0004418539,-0.01754143,-0.03620991,0.04605222
32,0.32,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.05958557,0.08821106,-0.9855194,24.68472,13.78245,-22.07669,281.8644,294.2244,25,-0.01333072,-0.05119421,-0.0512496,0.3862696,-0.01484367,-0.08036759,-0.01694881,-0.02119242,0.0003889944,-0.05054292,-0.004689062,0.006855324
33,0.33,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.02374268,0.04798889,-0.9470367,24.89701,13.6409,-22.28134,281.8756,294.2356,25,0.01639176,-0.06900357,-0.0545205,0.3863423,-0.01513684,-0.08067077,-0.01561642,-0.02977104,0.007850247,-0.04449853,0.007627764,0.01111428
34,0.34,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.04702759,0.0914917,-0.9732361,24.89701,13.6409,-22.28134,281.8756,294.2356,25,0.01169767,-0.07900427,-0.05569788,0.3863991,-0.01558224,-0.08057974,0.01410605,-0.04758042,0.004579288,0.01792669,-0.008287976,0.03087492
35,0.35,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.02972412,0.1326447,-1.044769,24.96778,13.78244,-22.07669,281.8892,294.2492,25,0.005162538,-0.05693599,-0.05595461,0.3864441,-0.01619579,-0.08048528,0.009411973,-0.05758117,0.003401775,0.03988533,-0.03240953,0.04959534
